Year,Open,High,Low,Close,Volume
2012,24.79961288206039,25.300903234174175,24.195870922457786,24.673096712173955,54648146.451612905
2013,35.47642864499773,36.045039653778076,34.93015874378265,35.48115074823773,60091994.44444445
2014,68.76396804385715,69.63952371809218,67.83019863613067,68.76234109061105,47530551.984126985
2015,88.74940511915419,89.68337295168922,87.76277772207109,88.7728573329865,26958879.365079366
2016,117.08107146005781,118.09170613970075,115.86587276155987,117.03587304978143,25475071.031746034
2017,156.4810755756272,157.55752958624487,155.34701215888398,156.57617537053932,16789952.589641433
2018,171.4729481427318,173.61334702693134,169.30314763893645,171.5109556889629,27658596.812749002
2019,181.56654727269733,183.48253940400622,179.6488891480461,181.6374996124752,16206268.650793651
2020,234.3486958379331,237.9399216241045,230.79004002748272,234.55086984747484,22446295.652173914
2021,317.40523799512755,321.1534917922247,313.9437553769066,317.6147621598824,17469523.846560847
