Year,Breach,Records,Open,High,Low,Close,Volume
2012,0,NaN,24.79961288206039,25.30090323417417,24.195870922457782,24.673096712173955,54648146.451612905
2013,1,6000000.0,35.47642864499773,36.04503965377808,34.93015874378265,35.48115074823773,60091994.44444445
2014,0,NaN,68.76396804385715,69.63952371809218,67.83019863613067,68.76234109061105,47530551.984126985
2015,0,NaN,88.74940511915419,89.68337295168922,87.76277772207109,88.7728573329865,26958879.36507937
2016,0,NaN,117.0810714600578,118.09170613970076,115.86587276155988,117.03587304978144,25475071.031746037
2017,0,NaN,156.4810755756272,157.55752958624487,155.34701215888398,156.57617537053932,16789952.589641433
2018,1,50000000.0,171.4729481427318,173.61334702693134,169.30314763893645,171.5109556889629,27658596.812749
2019,1,269500000.0,181.5665472726973,183.48253940400625,179.6488891480461,181.6374996124752,16206268.650793651
2020,0,NaN,234.3486958379331,237.9399216241045,230.79004002748272,234.55086984747484,22446295.652173918
2021,0,NaN,317.40523799512755,321.1534917922247,313.9437553769066,317.6147621598824,17469523.846560847
